SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,HAMA,,Hawaii Mamo,Drepanis pacifica,DREPAC,,TRUE
,BLMA,,Black Mamo,Drepanis funerea,DREFUN,,TRUE
,OU,,Ou,Psittirostra psittacea,PSIPSI,,TRUE
,LANH,*,Lanai Hookbill,Dysmorodrepanis munroi,DYSMUN,,TRUE
,MAPA,,Maui Parrotbill,Pseudonestor xanthophrys,PSEXAN,,TRUE
,KANU,,Kauai Nukupuu,Hemignathus hanapepe,HEMHAN,,TRUE
,OANU,,Oahu Nukupuu,Hemignathus lucidus,HEMLUC,,TRUE
,MANU,,Maui Nukupuu,Hemignathus affinis,HEMAFF,,TRUE
,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,,TRUE
,LEAK,,Lesser Akialoa,Akialoa obscura,AKIOBS,,TRUE
,KAAK,,Kauai Akialoa,Akialoa stejnegeri,AKISTE,,TRUE
,OAKI,*,Oahu Akialoa,Akialoa ellisiana,AKIELL,,TRUE
,MNAK,,Maui-nui Akialoa,Akialoa lanaiensis,AKILAN,,TRUE
,ANIA,,Anianiau,Magumma parva,MAGPAR,,TRUE
,HAAM,,Hawaii Amakihi,Chlorodrepanis virens,CHLVIR,,TRUE
,OAAM,,Oahu Amakihi,Chlorodrepanis flava,CHDFLA,*,TRUE
,KAAM,,Kauai Amakihi,Chlorodrepanis stejnegeri,CHLSTE,,TRUE
,GRAM,,Greater Amakihi,Viridonia sagittirostris,VIRSAG,,TRUE
,HCRE,*,Hawaii Creeper,Loxops mana,LOXMAN,,TRUE
,AKEK,,Akekee,Loxops caeruleirostris,LOXCAE,,TRUE
,OAKE,*,Oahu Akepa,Loxops wolstenholmei,LOXWOL,,TRUE
,MAAK,,Maui Akepa,Loxops ochraceus,LOXOCH,,TRUE
,HAAK,,Hawaii Akepa,Loxops coccineus,LOXCOC,,TRUE
,PIGR,,Pine Grosbeak,Pinicola enucleator,PINENU,,TRUE
,EUBU,,Eurasian Bullfinch,Pyrrhula pyrrhula,PYRPYH,*,TRUE
,ASRF,,Asian Rosy-Finch,Leucosticte arctoa,LEUARC,,TRUE
,GCRF,,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,LEUTEP,,TRUE
,BLRF,,Black Rosy-Finch,Leucosticte atrata,LEUATT,*,TRUE
,BCRF,,Brown-capped Rosy-Finch,Leucosticte australis,LEUAUS,,TRUE
,HOFI,,House Finch,Haemorhous mexicanus,HAEMEX,,TRUE
,PUFI,,Purple Finch,Haemorhous purpureus,HAEPUR,,TRUE
,CAFI,,Cassin's Finch,Haemorhous cassinii,HAECAS,,TRUE
+,UHFI,,Unidentified HaemorhousFinch,Haemorhous (sp),HAESPE,,TRUE
,ORGR,,Oriental Greenfinch,Chloris sinica,CHLSIN,,TRUE
,YFCA,,Yellow-fronted Canary,Crithagra mozambica,CRIMOZ,,TRUE
,CORE,,Common Redpoll,Acanthis flammea,ACAFLA,,TRUE
+,CHRE,,Common/Hoary Redpoll,Acanthis flammea/hornemanni,ACAFLH,,TRUE
,LERE,,Lesser Redpoll,Acanthis cabaret,ACACAB,,TRUE
,HORE,,Hoary Redpoll,Acanthis hornemanni,ACAHOR,,TRUE
,RECR,,Red Crossbill,Loxia curvirostra,LOXCUR,,TRUE
,CACR,,Cassia Crossbill,Loxia sinesciuris,LOXSIN,,TRUE
,HICR,,Hispaniolan Crossbill,Loxia megaplaga,LOXMEG,,TRUE
,WWCR,,White-winged Crossbill,Loxia leucoptera,LOXLEU,,TRUE
,EUGO,,European Goldfinch,Carduelis carduelis,CARCAU,*,TRUE
,EUSI,,Eurasian Siskin,Spinus spinus,SPISPI,,TRUE
,PISI,,Pine Siskin,Spinus pinus,SPIPIN,,TRUE
,BCSI,,Black-capped Siskin,Spinus atriceps,SPIATC,*,TRUE
,BHSI,,Black-headed Siskin,Spinus notatus,SPINOT,,TRUE
,YBSI,,Yellow-bellied Siskin,Spinus xanthogastrus,SPIXAN,,TRUE
,RESI,,Red Siskin,Spinus cucullatus,SPICUC,,TRUE
,ANSI,,Antillean Siskin,Spinus dominicensis,SPUDOM,*,TRUE
,LEGO,,Lesser Goldfinch,Spinus psaltria,SPIPSA,,TRUE
,LAGO,,Lawrence's Goldfinch,Spinus lawrencei,SPILAW,,TRUE
,AMGO,,American Goldfinch,Spinus tristis,SPITRI,,TRUE
,ISCA,,Island Canary,Serinus canaria,SERCAN,,TRUE
,LALO,,Lapland Longspur,Calcarius lapponicus,CALLAP,,TRUE
,CCLO,,Chestnut-collared Longspur,Calcarius ornatus,CALORN,,TRUE
,SMLO,,Smith's Longspur,Calcarius pictus,CALPIC,,TRUE
,TBLO,,Thick-billed Longspur,Rhynchophanes mccownii,RHYMCC,,TRUE
,SNBU,,Snow Bunting,Plectrophenax nivalis,PLENIV,,TRUE
,MKBU,,McKay's Bunting,Plectrophenax hyperboreus,PLEHYP,,TRUE
,ROTT,,Rosy Thrush-Tanager,Rhodinocichla rosea,RHNROS,*,TRUE
,PIBU,,Pine Bunting,Emberiza leucocephalos,EMBLEU,,TRUE
,YBWB,*,Yellow-browed Bunting,Emberiza chrysophrys,EMBCHR,,TRUE
,LIBU,,Little Bunting,Emberiza pusilla,EMBPUS,,TRUE
